Country:,Government Expenditures for Space Programs ($10s millions USD)
USA,54589
Canada,490
Ireland,30
UK,1464
European Union,2574
France,3952
Portugal,59
Spain,399
Colombia,13
Venezuela,28
Brazil,58
Bolivia,29
Chile ,18
Argentina,122
Netherlands,167
Belgium,331
Luxembourg,185
Switzerland,252
Italy,1481
Greece,34
Romania,64
Austria,87
Hungary,29
Slovenia,13
Poland,73
Finland,69
Sweden,130
Norway,191
Denmark,53
Russia,3567
Belarus,21
Ukraine,21
Azerbaijan,78
Kazakhstan,93
China,10286
Pakistan,31
India,1963
Bangladesh,19
Indonesia,189
Australia,324
New Zealand,19
Singapore,28
Malaysia,11
Thailand,68
Myanmar,12
Lao,17
Vietnam,35
Taiwan,71
South Korea,679
Japan,4214
Morocco,12
Tunisia,10
Algeria,24
Israel,98
Iran,112
Saudi Arabia,75
Angola,32
South Africa,60
Qatar,27
UAE,113
Oman,26
Nigeria,110
Germany,2377
Czech Republic,74
